source_id,source_name,source_type,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,lat,lon
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-01-01 00:00:00,2022-01-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,149.7037037037037,4042,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-02-01 00:00:00,2022-02-28 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,133.92592592592592,3616,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-03-01 00:00:00,2022-03-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,153.4814814814815,4144,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-04-01 00:00:00,2022-04-30 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,168.03703703703704,4537,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-05-01 00:00:00,2022-05-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,197.33333333333334,5328,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-06-01 00:00:00,2022-06-30 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,197.74074074074073,5339,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-07-01 00:00:00,2022-07-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,204.2962962962963,5516,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-08-01 00:00:00,2022-08-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,190.66666666666666,5148,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-09-01 00:00:00,2022-09-30 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,183.37037037037038,4951,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-10-01 00:00:00,2022-10-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,178.11111111111111,4809,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-11-01 00:00:00,2022-11-30 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,143.77777777777777,3882,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701650,Almoiz power station,biomass,PAK,electricity-generation,2022-12-01 00:00:00,2022-12-31 00:00:00,month,co2,0,0,t of CO2 per MWh,27,MW,149.48148148148147,4035.9999999999995,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,32.039,70.9773
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-01-01 00:00:00,2022-01-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,149.6818181818182,3293,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-02-01 00:00:00,2022-02-28 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,133.95454545454547,2947,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-03-01 00:00:00,2022-03-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,153.5,3377,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-04-01 00:00:00,2022-04-30 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,168.04545454545453,3697,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-05-01 00:00:00,2022-05-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,197.3181818181818,4341,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-06-01 00:00:00,2022-06-30 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,197.72727272727272,4350,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-07-01 00:00:00,2022-07-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,204.27272727272728,4494,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-08-01 00:00:00,2022-08-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,190.6818181818182,4195,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-09-01 00:00:00,2022-09-30 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,183.36363636363637,4034,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-10-01 00:00:00,2022-10-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,178.13636363636363,3919,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-11-01 00:00:00,2022-11-30 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,143.77272727272728,3163,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701646,Al-Noor Sugar Mill power station,biomass,PAK,electricity-generation,2022-12-01 00:00:00,2022-12-31 00:00:00,month,co2,0,0,t of CO2 per MWh,22,MW,149.5,3289,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,26.5567,67.9866
49701648,Ansari Sugar power station,biomass,PAK,electricity-generation,2022-01-01 00:00:00,2022-01-31 00:00:00,month,co2,0,0,t of CO2 per MWh,30,MW,149.7,4491,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,24.9942,68.6581
49701648,Ansari Sugar power station,biomass,PAK,electricity-generation,2022-02-01 00:00:00,2022-02-28 00:00:00,month,co2,0,0,t of CO2 per MWh,30,MW,133.93333333333334,4018,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,24.9942,68.6581
49701648,Ansari Sugar power station,biomass,PAK,electricity-generation,2022-03-01 00:00:00,2022-03-31 00:00:00,month,co2,0,0,t of CO2 per MWh,30,MW,153.46666666666667,4604,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,24.9942,68.6581
49701648,Ansari Sugar power station,biomass,PAK,electricity-generation,2022-04-01 00:00:00,2022-04-30 00:00:00,month,co2,0,0,t of CO2 per MWh,30,MW,168.03333333333333,5041,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,24.9942,68.6581
49701648,Ansari Sugar power station,biomass,PAK,electricity-generation,2022-05-01 00:00:00,2022-05-31 00:00:00,month,co2,0,0,t of CO2 per MWh,30,MW,197.33333333333334,5920,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,24.9942,68.6581
49701648,Ansari Sugar power station,biomass,PAK,electricity-generation,2022-06-01 00:00:00,2022-06-30 00:00:00,month,co2,0,0,t of CO2 per MWh,30,MW,197.73333333333332,5932,MWh,2025-12-19 00:00:00,2026-03-06 08:21:33,24.9942,68.6581
