source_id,source_name,source_type,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,lat,lon
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-1-1,2023-1-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.93952755115785e+06,population served or population equivalent,1,1.93952755115785e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-2-1,2023-2-28,Monthly,bc,0,0,t of BC per population served or population equivalent,1.94192485906066e+06,population served or population equivalent,1,1.94192485906066e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-3-1,2023-3-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.94431309648471e+06,population served or population equivalent,1,1.94431309648471e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-4-1,2023-4-30,Monthly,bc,0,0,t of BC per population served or population equivalent,1.9467754192447e+06,population served or population equivalent,1,1.9467754192447e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-5-1,2023-5-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.94923349533534e+06,population served or population equivalent,1,1.94923349533534e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-6-1,2023-6-30,Monthly,bc,0,0,t of BC per population served or population equivalent,1.95169009475644e+06,population served or population equivalent,1,1.95169009475644e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-7-1,2023-7-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.95414798750783e+06,population served or population equivalent,1,1.95414798750783e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-8-1,2023-8-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.95665035288791e+06,population served or population equivalent,1,1.95665035288791e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-9-1,2023-9-30,Monthly,bc,0,0,t of BC per population served or population equivalent,1.95911927739823e+06,population served or population equivalent,1,1.95911927739823e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-10-1,2023-10-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.96159785064813e+06,population served or population equivalent,1,1.96159785064813e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-11-1,2023-11-30,Monthly,bc,0,0,t of BC per population served or population equivalent,1.9640888426374e+06,population served or population equivalent,1,1.9640888426374e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-12-1,2023-12-31,Monthly,bc,0,0,t of BC per population served or population equivalent,1.96659502336587e+06,population served or population equivalent,1,1.96659502336587e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-1-1,2023-1-31,Monthly,ch4,58.8025963,3.031800000206045e-05,t of CH4 per population served or population equivalent,1.93952755115785e+06,population served or population equivalent,1,1.93952755115785e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-2-1,2023-2-28,Monthly,ch4,53.17767034,2.738399999973371e-05,t of CH4 per population served or population equivalent,1.94192485906066e+06,population served or population equivalent,1,1.94192485906066e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-3-1,2023-3-31,Monthly,ch4,58.94768446,3.03180000003994e-05,t of CH4 per population served or population equivalent,1.94431309648471e+06,population served or population equivalent,1,1.94431309648471e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-4-1,2023-4-30,Monthly,ch4,57.1183908,2.9339999999671507e-05,t of CH4 per population served or population equivalent,1.9467754192447e+06,population served or population equivalent,1,1.9467754192447e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-5-1,2023-5-31,Monthly,ch4,59.09686111,3.0317999999191046e-05,t of CH4 per population served or population equivalent,1.94923349533534e+06,population served or population equivalent,1,1.94923349533534e+06,population served or population equivalent,,,31.435,74.293
3867649,Unknown name,centralized WWTP with secondary treatment,PAK,domestic-wastewater-treatment-and-discharge,2023-6-1,2023-6-30,Monthly,ch4,57.26258738,2.9339999999921118e-05,t of CH4 per population served or population equivalent,1.95169009475644e+06,population served or population equivalent,1,1.95169009475644e+06,population served or population equivalent,,,31.435,74.293
